@relation art33-weka.filters.unsupervised.attribute.NumericToNominal-R4

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute class {0,1,2,3}

@data
0.445261,0.337558,1.047427,2
-0.294735,0.63692,1.571716,2
-0.55101,1.765416,-0.737827,3
1.680535,0.546064,1.835298,1
1.384061,0.951007,1.249874,1
1.53708,1.139362,0.78062,1
0.616877,-1.704546,-1.490996,0
2.772912,-2.577958,0.317492,2
1.484787,-0.419708,-0.362438,0
1.410932,-0.374301,-0.469112,0
1.442548,1.113468,0.787068,1
2.155096,-1.429978,-0.942476,0
0.604277,-1.187946,2.217559,2
1.050545,-1.884796,-1.798581,0
0.689466,-0.400923,-0.297485,2
1.030961,-1.767038,0.237479,2
2.632958,-2.424032,-0.307127,2
-0.369841,1.801548,-0.917265,3
0.760874,1.005179,-0.142096,3
-3.514255,3.744426,-0.622128,3
1.263137,-1.63519,1.684956,2
3.301865,-0.125738,-0.5776,3
-0.14147,1.88299,-1.377274,3
1.926792,0.257176,-2.711575,3
2.631591,0.039425,-1.74059,3
0.967741,0.768336,1.451293,1
0.36599,0.694418,1.632607,1
0.886215,-0.864223,-0.860008,0
1.990166,0.201364,-2.078775,3
0.797168,0.087934,-0.053992,0
-0.673948,0.526955,2.550832,2
0.032475,0.095872,1.757882,2
2.469794,0.07747,-1.39494,3
1.941661,0.34236,-2.061111,3
3.051988,0.50609,1.950492,1
1.802433,0.307403,-0.465042,3
0.757102,0.056376,-0.287187,0
-0.572086,2.004651,0.80788,3
0.147018,1.744066,-0.526994,1
1.042161,1.282424,0.465506,1
0.714002,-0.637539,1.068104,2
1.880036,-4.119747,-3.867246,0
0.506644,-0.151638,1.705399,2
1.42517,-1.335088,-1.127672,0
-2.12889,2.995148,0.888205,3
0.661014,-0.785086,1.393984,2
0.122852,-0.331331,1.563547,2
1.591677,-1.135371,-0.630472,1
2.410491,0.928204,1.131729,1
1.637296,-1.662329,1.507021,2
0.471705,-0.906622,2.735899,2
-0.609961,0.781699,1.431239,1
1.007529,0.986708,-1.695572,3
0.876887,1.300949,0.308161,1
0.168996,0.668461,0.259667,0
0.362308,1.116573,0.880255,1
0.828366,-2.038625,-1.761072,0
0.637164,1.131482,0.90796,1
0.77936,1.088182,0.942306,1
1.549478,0.712572,0.052668,3
0.603441,-0.683903,1.695701,2
2.46213,-2.360972,0.163008,2
-0.714713,1.881545,0.288768,3
0.852149,1.425681,0.148948,1
2.319875,0.210524,-1.559483,3
1.388191,1.365673,0.210476,1
0.301031,-1.129197,-1.287351,0
1.649009,1.245437,0.489152,1
2.906062,-0.236111,-2.154351,3
0.12813,1.218709,0.536577,1
0.085633,0.596346,1.766415,1
1.768039,1.190887,1.231583,0
-0.203562,-0.377171,1.203969,2
2.516838,-2.394656,-1.775257,0
0.734823,-0.509986,2.652097,2
1.916484,-2.611863,-2.26774,0
1.646609,-1.927247,-1.755765,0
-0.872549,0.352183,2.869746,2
0.818848,1.383109,-1.276858,3
1.652915,0.296166,0.526063,0
0.016891,0.99562,1.160869,1
0.142003,1.642401,-0.264314,1
1.292283,-1.226699,2.485411,2
-0.194584,1.297575,0.410626,1
2.19227,0.551496,-0.817993,3
1.356595,-0.796108,-0.622945,0
1.972613,-1.096539,0.979834,2
1.78663,0.59015,0.537687,0
-1.716765,2.846872,0.174836,3
2.520379,0.169065,0.280955,0
-0.157145,1.969432,-0.845936,1
-0.453972,0.75248,1.576705,2
0.825808,0.284075,0.159882,0
0.321563,-0.322525,1.907642,2
-0.652968,-1.384193,-1.667066,0
-0.135928,1.72353,-0.301506,3
-0.295549,1.944245,0.355046,3
1.773663,1.026558,0.767701,1
-0.479751,2.252567,1.095615,3
-0.919497,1.731033,0.772084,0
