@relation art18-weka.filters.unsupervised.attribute.NumericToNominal-R5

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute class {0,1}

@data
-0.731976,0.660532,-1.719529,0.432509,1
0.779201,-0.563673,-0.191361,1.004235,1
1.232022,-1.95156,0.242396,0.183329,0
-1.88162,-0.859671,2.604709,1.055034,0
2.510456,1.069457,0.770515,0.009663,0
0.535724,0.427988,1.006729,0.165246,0
-0.100124,-2.181946,0.276598,1.062488,0
1.304527,-1.121172,-2.00467,-0.238095,1
-0.822091,0.815241,-0.814233,0.4673,1
-0.506153,0.731497,-1.232806,2.016446,1
-0.242916,0.844044,-0.353837,-0.104433,1
-0.361376,0.100133,-0.893403,1.196589,1
3.712727,-2.531153,-0.688294,0.171645,1
-0.188407,-2.444721,-0.539371,1.047213,0
-2.208386,2.021921,-0.510785,1.718267,1
1.749774,-3.157473,-1.97783,0.480302,0
-2.363958,1.979332,-2.143655,0.557109,1
1.181869,-0.248839,2.499225,1.452727,0
-1.540952,1.831239,-0.953608,0.886449,1
-0.284246,-0.161707,1.724799,1.258837,0
1.641182,2.327075,0.01905,0.723664,0
-1.729763,1.123096,-1.008629,1.218527,1
1.591162,1.62579,-0.842525,0.548311,0
0.7727,0.331374,-0.64827,0.300279,0
-2.601128,2.739405,0.155714,1.525834,1
-1.614752,0.43264,-3.531625,1.940358,1
0.285652,0.473145,-0.077218,0.365306,1
1.45508,-2.508922,0.573015,1.218592,0
2.498498,-0.14213,0.852467,0.998727,0
2.23417,-0.232428,0.302852,0.780093,0
0.211485,0.556953,0.177327,0.610315,1
2.211424,0.395693,2.017307,1.057224,0
0.776949,0.859774,0.298227,-2.263097,1
-2.645786,2.247829,-0.33747,0.306846,1
-2.589846,3.17335,0.410851,-0.338831,1
-3.929572,2.869091,-1.992155,2.584772,1
-1.107884,-3.480617,3.050501,2.054779,0
1.909077,-2.15852,-0.400431,0.675002,0
-0.974895,1.991046,-0.117936,1.475019,1
-0.997033,-2.835209,0.821503,1.001438,0
1.718461,-1.031982,-1.879515,-0.351283,1
2.003819,-3.129348,-0.224763,0.901696,0
-0.21687,0.262037,-0.527105,0.741235,1
0.608495,-3.381237,1.030251,1.225787,0
-0.000132,1.133658,-0.480065,0.563657,1
-2.409095,-2.17377,1.644243,1.88778,0
-0.841361,0.024035,-1.929217,2.253547,1
1.670947,-0.377082,1.620782,1.493001,0
-2.810412,2.798393,-1.268192,-0.164501,1
0.907291,-1.718,-0.864934,1.486566,1
-0.084198,0.148085,1.571621,0.509143,0
-0.79275,-4.728017,0.201817,1.378569,0
-0.356998,0.859885,-0.960547,-0.488395,1
0.008217,-1.87372,1.267971,0.454797,0
0.96089,-0.402522,0.211081,-0.062655,0
1.67124,-2.082642,-1.735128,1.488632,1
2.24095,0.004876,-0.686631,1.339337,0
-2.687496,1.378971,-1.268131,2.411068,1
-0.467381,0.604644,-1.5574,2.376353,1
-1.980919,2.335423,-0.248011,1.302724,1
2.055491,-0.756843,1.921482,0.827657,0
-1.72853,1.415748,-0.56587,1.414608,1
-1.366234,1.510224,-0.628156,1.929557,1
-0.397114,0.740574,0.052489,0.047589,1
1.836537,-0.028009,1.999515,1.156952,0
0.597843,-0.956592,0.393942,0.694363,0
-1.626616,-2.553045,2.1937,1.68072,0
-1.358005,0.955049,-0.693366,2.700578,1
-1.547206,1.025776,-1.731063,2.379324,1
-2.525679,-2.931756,0.251862,1.122699,0
4.260101,0.326986,-0.721045,0.338907,0
0.527361,0.076183,-0.851627,0.488968,1
-0.30336,-0.556223,1.603072,0.896942,0
0.330632,-0.644812,2.213691,0.860906,0
-0.296857,0.414689,-0.368715,1.592175,1
-1.860128,0.966284,-1.730998,1.057273,1
-0.839798,-3.201629,2.115026,1.485425,0
1.696207,-0.011678,-1.719433,0.308732,0
-0.488419,0.789494,-0.210885,1.694689,1
1.170419,-0.815575,2.262151,1.118934,0
3.0084,-2.921698,-1.008176,0.723584,0
-1.122784,0.765635,-0.529779,0.818115,1
-0.058625,-2.158532,0.361928,1.331279,0
-1.163888,2.273885,-0.525893,0.018771,1
-0.17241,-2.821957,0.915554,1.134739,0
0.107818,1.548136,-0.386805,-0.557686,1
-2.914583,3.151558,-1.134388,0.798762,1
-2.213347,3.078378,-1.056933,0.092168,1
-0.465078,1.625292,0.326916,-0.062884,1
-0.062934,-1.988024,4.235682,2.011657,0
0.086604,-3.927592,2.005473,1.725141,0
-1.141579,-0.632558,-0.960642,2.824333,1
-0.488762,-1.872433,2.502509,1.28534,0
0.762908,-0.278368,0.567367,1.013407,0
-0.933175,0.761066,-1.36761,2.771288,1
1.245279,-1.596774,4.608084,1.38915,0
-0.030186,-2.865263,5.427233,2.265113,0
1.068925,0.258108,-0.680526,0.447691,0
1.360368,-1.373941,-1.574096,0.409667,1
0.008332,-2.057574,0.529909,0.682708,0
