@relation art21-weka.filters.unsupervised.attribute.NumericToNominal-R9

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute class {0,1}

@data
-1.047515,-0.397804,1.767535,-1.529504,1.626427,-1.45348,-2.154248,-1.590048,1
-1.226526,1.719412,2.689,0.849315,-0.223637,-0.796902,0.220786,0.854838,1
-5.496366,2.166885,1.313217,1.358349,2.620686,-0.161082,1.526986,1.093729,1
0.045152,1.991594,-0.224386,0.959865,1.132678,-0.019481,0.476867,1.090019,1
-2.281561,-0.90101,1.662727,-1.652911,3.228415,-2.160135,-2.900719,-1.174067,1
-4.138608,2.084384,1.115041,-0.042067,2.581675,-1.214059,1.177056,0.443708,1
-1.076311,1.806625,3.627046,3.046,-2.673818,0.60818,0.527864,2.632139,1
-0.876632,-1.009288,-1.045253,-3.173649,2.14188,-0.043118,1.878304,-0.456231,0
1.539743,-0.964683,-0.819731,-1.62524,1.351856,-0.975129,2.288658,1.90599,0
1.084271,-0.535604,0.86252,-1.701507,0.892788,0.168078,1.152876,3.123898,0
1.81755,3.98299,3.126067,1.923359,-4.404939,-1.063708,-0.616817,2.283232,1
0.978474,-0.677596,0.832534,0.743416,0.876778,-0.448757,-2.298041,1.369771,1
0.056695,1.498693,-0.214943,-0.030075,2.929379,0.785809,0.668559,-0.860821,0
-0.114734,2.382553,2.508054,0.143561,-1.125535,-0.339856,-1.537874,-1.687408,1
-0.221985,0.486976,-0.450018,-0.725745,2.37882,0.401435,1.563704,1.693671,0
1.916649,-4.40786,-0.415831,-1.101747,0.416195,-4.319495,3.094157,2.371952,0
2.225752,-0.246942,-1.043892,-1.002539,1.222955,-0.495717,-2.341376,-0.171283,1
-1.485057,0.180769,0.255312,1.377522,2.273123,-1.178986,-2.035664,0.731835,1
-1.79856,1.476481,2.800443,1.000643,-0.856443,-0.056367,-0.767179,0.46648,1
2.279416,-2.68903,-1.032428,0.627207,0.547643,-3.116629,2.178508,1.802384,0
-0.397929,2.609672,1.81583,0.534582,-1.138625,-0.199996,0.654183,0.865586,1
-2.186717,0.644489,0.377407,0.066482,2.42797,-1.371593,-0.0261,2.056548,1
-1.774202,0.307188,1.600338,-0.525192,1.235106,-0.779413,-0.570335,-0.286366,1
2.243942,-1.19285,0.715192,0.791396,0.056266,-2.062649,1.340387,2.575463,0
0.456948,-2.968833,1.592942,-2.423237,-1.674033,-2.614014,1.773725,2.149412,0
0.770764,-3.063507,1.750807,-2.689643,-0.858145,-1.214029,0.162962,1.116143,0
-2.697493,1.637709,1.463849,0.32703,2.802466,-1.589196,0.020953,0.251605,1
-1.468935,2.166733,-0.001944,2.620747,1.012748,-1.81097,-1.3103,3.701525,1
-1.201412,0.477856,0.357383,-0.382525,2.806604,-1.259852,0.702661,1.484288,1
0.204863,-2.782367,-1.352031,-3.164721,3.003453,-1.494998,2.648171,0.666227,0
1.40201,-1.583123,0.858285,-1.848883,1.83264,-0.685334,1.066161,1.480213,0
-5.267113,2.548677,0.580077,-0.709574,3.486678,-0.947259,2.263732,0.126593,1
-0.352269,1.119346,-0.314706,1.129792,2.275617,-1.644187,-2.886439,-0.168581,1
1.161889,-4.325357,1.303192,-2.764287,-1.941932,-4.492828,2.89477,1.757642,0
2.04382,-2.806723,0.622916,-2.162468,2.027962,-1.416279,0.998337,0.783808,0
-1.649249,1.198223,2.403088,2.132995,-0.706159,0.24634,-0.613921,2.707818,1
-1.435954,2.867211,0.844533,2.924727,0.057677,-1.535657,-0.826952,2.108837,1
0.21167,0.412274,-0.176612,-0.776408,3.033803,0.43528,1.267635,1.788798,0
0.705594,1.153145,2.007077,-1.90884,2.291047,0.584181,1.267469,2.046049,0
0.914394,-2.093051,0.519727,0.529332,-0.0994,-2.006458,0.603333,0.623486,0
1.930503,-1.501176,0.292437,-0.349919,1.223707,-1.004102,0.958209,1.995776,0
0.824437,-3.413893,1.789504,-2.00725,-0.626584,-1.720325,0.74274,2.835467,0
0.066028,0.565282,-1.081328,0.117986,2.467439,-1.248991,-1.378422,0.602817,1
1.481594,-0.548527,2.719451,-0.337837,0.603468,0.080068,-0.595679,1.814675,0
-1.317111,1.0227,-0.245094,2.096811,2.191056,-1.685895,-1.226229,2.506298,1
2.555997,-1.960586,1.484039,0.71052,1.244298,-2.977776,1.007255,0.683926,0
1.701317,-5.108554,0.15519,-0.06735,-1.816836,-4.860041,2.031731,2.355639,0
0.218009,0.134084,-2.420582,-0.430014,4.797575,-1.546975,-2.129548,-1.148983,1
0.458611,-1.466447,3.222537,-5.250469,2.906654,1.056368,0.281301,1.031578,0
-0.736777,1.669383,0.12772,-1.752361,3.863275,1.421687,1.107475,-0.618513,0
0.293059,-2.373993,-0.353966,-2.979458,2.901168,-0.030958,1.090437,1.101177,0
-0.771617,-0.184255,1.099284,-3.034842,-0.304922,0.059806,1.144088,0.096307,0
-1.539897,2.195076,0.58499,-0.507997,0.698344,-2.079289,1.073325,4.007178,1
0.271194,2.413358,1.086768,-0.395647,-1.140647,1.248724,2.108264,0.350979,1
2.699763,-0.102334,2.085076,0.501411,0.81698,-1.752437,1.187249,2.066192,0
1.672191,0.279717,0.680421,-0.962164,3.288341,-0.706506,1.966599,1.567008,0
2.64841,-2.414961,0.686198,-0.087812,1.433161,-2.811702,1.749993,1.718753,0
-3.642935,3.412916,0.278941,-1.521426,2.89945,-1.656843,0.89945,-0.458212,1
-2.867976,1.588592,-0.417598,2.110759,2.599839,-0.65175,1.614386,3.442755,1
-5.423727,2.223584,0.842184,4.021499,2.653405,-0.832697,-1.056149,2.471382,1
0.652212,-0.235918,2.489425,-0.360712,-0.169558,-1.552094,-0.903977,0.448917,1
2.553361,-1.816668,1.650502,0.313978,-1.175536,-2.762902,0.975998,1.131728,0
1.300519,-0.427817,1.368098,1.167341,-0.355035,-1.228272,-0.012163,0.374616,0
-2.146615,0.680899,0.549215,2.046379,2.254572,-1.433777,-0.141184,2.992482,1
0.273827,0.817786,0.692004,1.38927,0.477316,-1.25542,-1.367479,1.951315,1
-1.229303,0.019253,-0.761308,1.462708,3.636116,-2.135185,-2.123342,0.868275,1
0.210133,0.485327,-0.128478,1.283239,0.423127,0.194683,-1.344487,1.631621,1
0.949563,-1.703803,1.035191,-1.730174,0.73815,-1.065513,0.876068,1.08961,0
1.756347,-0.120124,1.017974,-1.528074,2.090222,-1.148007,2.158799,1.438644,0
1.076261,-0.95255,1.945393,-1.527162,0.984757,-0.589566,0.324002,0.587723,0
0.291865,-0.653149,-0.063247,-1.289051,0.608808,-0.41075,0.982307,-0.266789,0
1.99539,-2.17423,2.898761,-1.13669,0.253082,-1.754316,0.066697,1.112662,0
-0.207498,1.071772,-0.253103,-0.062208,2.370617,0.409285,0.936333,0.200397,0
0.496714,0.64853,1.013388,0.232451,0.687436,-0.955486,1.023737,-0.40619,0
0.606203,1.119896,1.561234,-1.086623,3.308812,0.79372,0.356027,-0.25457,0
-0.809131,0.138352,-0.151861,-1.719693,-0.429711,0.727766,0.399879,-0.443479,0
0.816801,0.707149,1.680852,4.789627,-2.356463,1.066387,-1.650619,3.328609,1
-0.309539,-1.841314,1.222212,2.955375,-0.081477,1.748212,-4.031337,0.23879,1
-0.722153,4.041711,2.123815,1.153185,-1.169705,-2.129447,1.005752,2.389436,1
1.733553,2.637281,-0.233549,0.094494,0.577036,-3.251952,-1.166514,1.980844,1
-0.001709,-2.959934,0.098996,-1.493174,-1.579193,-2.182103,0.719618,-0.628084,0
0.360907,-0.865301,-0.945061,1.216252,2.903993,-1.016329,-1.999872,1.233147,1
1.07744,1.329943,1.920538,2.280297,-1.604785,-1.689238,-2.154968,1.9761,1
1.110317,-3.687096,-0.173909,0.624317,-2.743747,-4.422036,2.065519,1.026661,0
-3.580958,2.991949,2.234076,0.686097,-0.638196,0.489473,2.011522,1.670366,1
1.475942,1.006278,1.729173,0.829588,-1.859809,-1.252013,-2.351697,2.069474,1
-1.868433,2.758114,1.193821,-3.018699,2.022021,2.415693,0.600206,-1.098033,0
