@relation art48-weka.filters.unsupervised.attribute.NumericToNominal-R11

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute class {0,1,2,3}

@data
3.246414,-1.787931,1.172337,-0.562251,-0.953679,0.666001,2.313503,-1.066226,-2.233967,1.317461,1
0.781599,3.006435,2.717623,3.031596,-4.689144,1.206366,0.76559,-1.417673,-0.098099,0.85954,2
2.069599,-0.249291,0.269051,0.600003,0.827734,0.983516,1.380975,1.370511,2.226414,3.997646,1
0.415738,0.147425,-0.682287,-2.283847,1.088292,-0.838357,2.580918,-2.872469,-0.088957,-1.811481,0
-0.288159,0.38209,2.675568,-1.118915,-0.71089,-1.085361,0.684056,-2.190218,1.271827,-2.114395,2
-3.965419,-2.883069,-2.597403,-0.134688,0.819664,-0.059471,2.794842,0.974694,-0.42579,-1.240977,0
-0.149378,-0.395518,-1.848712,1.986853,1.098771,3.010432,1.613459,-1.70054,-2.868755,-0.450265,1
5.39494,-2.100433,0.836976,-1.554436,-1.804194,-1.448291,3.590977,-2.847613,0.91429,2.891831,2
0.414469,-1.054059,-0.916665,-1.10438,2.799097,1.239124,0.489156,-0.758126,-1.746333,3.221408,3
0.138815,0.561086,-2.523813,-0.351796,-0.906691,1.969639,3.690267,-0.420351,1.469343,1.521758,3
0.638404,0.498173,-2.787494,0.42502,0.520128,1.578156,2.390378,1.249548,-1.847301,-0.697359,1
1.277575,1.788299,1.1805,-2.76938,-1.450807,-1.45812,3.126832,-3.331963,1.916223,-2.550366,2
1.414585,1.381588,0.396011,1.963306,-2.906225,-1.346191,0.3185,-1.280753,2.194304,-0.39543,2
-1.62353,-1.419006,-2.320093,-0.084756,0.332843,1.224834,2.220862,-0.715221,1.350137,1.037602,3
-0.516657,0.379082,0.188016,-0.732048,2.880837,0.682444,0.31759,-0.365334,0.631647,-0.280892,0
2.908549,0.892516,0.559712,-1.737976,2.857269,0.994263,-0.904048,-1.739567,0.668404,-1.020537,0
0.814801,-1.533585,-1.191793,-4.101353,1.994969,-2.947664,2.360007,-0.593746,-0.728554,-1.227028,3
0.01157,-1.053072,-0.558494,-0.710327,2.978692,2.648615,0.504634,1.71963,0.351052,1.470532,3
-1.444315,-1.894965,3.63021,-0.234719,1.737958,1.4346,-2.335864,2.469954,0.443102,1.016237,3
-2.917313,1.017639,-0.805071,-2.14323,4.33697,1.080903,1.121959,-3.943239,-4.32912,4.592065,1
-0.082006,0.215151,-0.067206,5.60608,-2.644695,-1.427844,-0.347897,-3.095753,1.483335,0.682512,1
-4.142345,0.442893,0.957225,3.470024,0.283588,-0.729393,-0.572769,-0.351372,1.245821,3.097047,0
0.609675,-1.123414,-0.204764,0.357931,0.389617,-2.4467,0.278753,-0.215697,1.92462,-2.605746,2
-2.623878,-3.944907,-2.955839,-2.548428,2.116817,-2.775954,-2.065248,2.378584,-3.071505,-5.320594,0
-3.327623,-2.620361,-0.543499,-0.437871,-1.942399,-1.417226,-3.971373,-2.469611,-4.43402,-1.928406,0
2.564042,-0.319143,0.88363,-1.161487,-0.89872,1.422133,-1.175126,-0.193229,0.086914,2.346287,3
-3.47851,-0.241105,-3.743443,-0.88513,-0.219581,3.306817,2.291993,-1.636586,1.557931,-1.657313,3
3.164017,-0.173907,0.803578,-3.2087,-2.751864,-1.803491,3.465048,-4.553191,1.455719,-2.026238,2
0.463441,0.753301,0.008689,3.316973,-0.036974,-0.220794,-0.424434,-1.266938,1.357817,3.523569,1
