@relation art36-weka.filters.unsupervised.attribute.NumericToNominal-R6

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute class {0,1}

@data
0.780238,-3.043477,5.884789,3.818016,-0.69394,0
0.958694,1.048435,-3.086854,-1.414298,0.153136,1
-0.092173,1.906613,-2.204498,-0.627626,1.556571,1
-0.402805,2.466811,-2.736457,-0.974325,1.930382,1
1.383943,2.264483,-1.880384,-2.83425,0.568305,1
1.149954,1.349957,-1.411279,-1.772143,0.774051,1
1.351077,-0.47856,3.824873,2.95742,-2.79982,0
1.16729,-2.005763,1.387249,1.302606,0.181222,0
1.346953,0.098057,0.034446,-0.797164,1.041753,1
1.281475,2.207592,-2.03424,-2.166183,0.804539,1
2.430778,-0.024301,0.357638,1.210486,-2.277855,0
-0.475393,1.47374,0.129064,-0.32973,3.482239,1
1.305347,1.969894,-1.796736,-2.153197,0.652113,1
1.861523,0.006524,-0.308924,-1.048671,-0.054159,1
-1.908366,2.248375,-4.154393,1.16508,1.996465,1
-1.547355,-0.257476,2.668389,2.004877,-0.228455,0
-0.413738,-1.318377,-0.916852,-0.927935,0.102034,0
2.152893,-2.176034,-0.835184,-0.284954,-0.101184,0
2.368847,1.022637,-0.26547,1.21255,-2.565452,0
0.378467,2.970901,-0.713241,-2.88162,3.256884,1
-0.786857,-1.483941,2.374825,1.669222,0.509574,0
1.451001,1.98698,-2.467369,-1.669581,0.176186,1
0.617714,-2.499009,1.550147,0.548449,-0.572436,0
2.3325,1.363704,-2.250861,-1.288885,-1.352241,1
-1.043369,-0.648889,0.412983,1.019897,3.121949,1
1.506268,-0.648627,0.679707,1.541997,-0.094197,1
-0.167948,-1.27728,1.970336,1.9988,2.507972,1
-0.670312,3.465725,-2.924411,-0.852078,1.914135,1
2.222251,-0.166572,0.579537,-1.326824,0.262629,1
4.781191,-1.439345,0.420058,1.551335,-2.107721,0
-2.314462,1.207734,-2.939835,0.11207,3.80504,1
1.068991,-2.069586,0.345143,-0.035763,-0.660513,0
3.323102,0.758101,1.337203,-0.95185,-0.492317,1
3.528484,-1.642919,0.669444,1.084244,-1.923924,0
0.825437,1.693806,-2.39229,-3.163823,1.217104,1
2.164476,0.053809,1.207362,1.444011,-3.021008,0
4.300373,0.684891,0.71705,2.701405,-2.553272,0
0.004798,0.581726,-1.648375,0.084988,1.411215,1
-0.012858,-1.09407,2.804977,2.055101,-0.757439,0
0.521343,0.423561,1.744582,2.048479,-1.432261,0
1.894908,0.43049,-0.589879,0.273683,-2.49048,0
2.137741,1.014665,1.285448,-0.962744,0.862498,1
0.482917,0.15811,1.020824,1.07836,-1.927408,0
0.744548,1.430421,-2.761492,-1.384199,0.522467,1
2.93797,-0.830951,1.295282,-1.43657,-0.464588,1
1.155745,0.176416,0.307551,-0.186395,1.026764,1
0.85047,0.375634,0.323203,0.449199,1.32087,1
-0.104533,-2.624932,0.293481,-0.113354,1.203981,0
0.43329,0.733226,2.130414,0.183541,2.69015,1
2.352176,1.618242,-0.605731,-3.81134,0.611723,1
2.177141,1.452404,-1.05694,0.618995,-2.677102,0
1.054195,-1.783973,-0.443337,-0.598066,-1.052222,0
0.065219,-0.080592,-1.072087,-0.465565,-0.885054,0
-2.324892,0.814543,3.254983,2.308447,-1.184594,0
1.905582,-1.141218,-1.593756,-0.806461,-1.053586,0
2.386898,0.223251,-1.15225,0.323511,-1.645639,0
0.839218,0.038794,-0.43492,0.154783,0.635768,1
2.299597,0.415179,1.671489,-1.051859,0.839972,1
2.821401,-0.365123,-2.965085,-1.354539,-1.826969,0
0.8402,2.066046,-1.840785,0.044321,-2.024875,0
0.878379,0.730686,0.732773,0.985641,-2.797717,0
0.679731,0.438824,0.629221,0.827374,-2.180261,0
0.593414,-0.78194,0.106477,0.175536,-1.163603,0
0.76666,0.324679,-2.159696,-0.578885,0.393357,1
-0.33516,2.865049,-1.003898,-1.61646,3.103956,1
1.041804,-0.085131,-0.767408,0.575437,-0.091535,0
2.184938,-0.543755,-1.015855,0.188134,-0.998572,0
2.09152,1.637561,-3.069012,-3.493586,-0.242387,1
3.434246,3.311499,-2.377857,-7.196353,0.351787,1
3.376615,-1.524261,1.347944,2.008332,-1.068181,0
1.041489,1.402673,1.009657,-0.082743,1.545693,1
0.49601,1.701224,-2.874588,-1.491396,0.928166,1
0.382052,-1.783927,0.408358,-0.041102,-0.698394,0
0.254987,2.136376,-3.06204,-2.565134,1.632131,1
0.210837,1.299413,1.198969,1.761445,-2.031825,0
1.747477,0.691524,-0.600925,0.557459,-2.164723,0
1.836058,-1.968867,2.45984,-1.29457,1.455132,1
2.667871,0.366636,2.560983,-1.555853,0.859607,1
2.465027,-2.41449,2.360312,1.905955,-1.031559,0
-0.064791,1.310948,-1.031969,0.561194,1.703421,1
0.51716,0.460075,-0.928564,-0.24344,0.957988,1
2.040303,-2.13893,-1.454854,-1.069809,-0.565179,0
2.186088,0.901391,-1.335672,-0.455592,-0.958177,1
0.789273,1.09608,0.353723,0.842437,-2.816868,0
-0.240071,-0.389832,2.438029,1.684846,-1.553754,0
0.373766,-0.445198,2.874182,2.397764,-1.500049,0
2.001461,0.077195,0.861693,-0.956747,0.698344,1
1.09626,0.832007,-0.220298,0.196282,0.659027,1
2.058954,-1.465102,2.694488,2.559617,-1.316268,0
1.656488,2.97018,-4.728077,-4.153475,-0.48536,1
1.60668,-0.199966,0.219381,0.450261,-2.643112,0
-1.087721,-0.086591,-0.344305,0.134303,0.469682,0
-0.164201,2.144638,-1.198456,-2.827681,3.094874,1
0.296185,0.893285,-2.065757,-2.024831,1.675791,1
-0.706961,0.526287,0.517146,0.827079,-0.802315,0
-0.714563,-2.59661,3.25435,1.596606,0.055326,0
-2.318831,-3.676403,3.204052,0.417328,0.944853,0
0.09695,0.451849,0.921503,1.190646,-1.443284,0
-1.638355,-3.119797,0.457823,-0.85229,1.639248,0
1.667125,1.096332,0.765631,-1.078394,0.905658,1
