@relation art05-weka.filters.unsupervised.attribute.NumericToNominal-R9

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute class {0,1}

@data
1.623838,-0.778185,1.98128,2.208209,-0.753857,-1.032615,0.753778,2.198652,1
-0.958921,-0.920963,-0.130519,0.724784,-0.634332,0.225534,0.364175,1.096907,0
1.278145,0.483405,1.893736,3.418025,-2.063696,3.884569,1.496349,0.297924,1
-0.097522,-1.3186,1.074402,5.037681,-0.01445,2.946151,1.91398,3.046735,1
3.043699,-1.732346,2.360343,1.365512,-2.936645,-1.808259,-0.316292,0.942439,1
3.83449,0.707127,-2.8108,1.295437,-4.001807,3.555818,2.277041,-0.022288,1
-0.374433,-1.706723,-0.652086,1.509551,0.665435,-0.170026,0.602628,2.854774,0
0.174239,-1.753252,-0.418953,0.176731,-1.538921,-0.582443,-2.65361,-1.365441,1
-0.117304,-0.122115,3.896376,-0.99495,-1.219652,1.148497,2.008562,-1.281397,1
3.162133,1.42144,0.890553,4.082502,-1.215771,-1.181312,2.194901,5.912137,0
-0.796208,-1.063886,2.413235,1.894962,1.194263,1.56423,2.849053,2.759046,1
-4.659718,0.893476,-1.96997,-2.189197,-4.859002,1.777094,3.093059,-1.332624,0
1.703037,-0.655777,1.229727,-0.849363,-1.075197,-0.760156,1.22021,0.757281,1
-0.021466,0.185906,2.076919,0.413323,-2.099396,-0.30613,0.733406,-0.457692,0
-1.47291,-1.89431,-2.276819,-1.464049,1.571247,-1.116249,-2.867793,-1.690687,0
-0.347916,-1.505184,1.488411,0.998886,0.068689,0.136018,1.577586,2.083169,1
0.071056,0.039345,1.623507,1.124679,-1.674916,2.224057,0.541367,-0.647538,1
-2.067823,-0.627619,0.596576,-2.143817,-3.089573,-1.058215,3.944192,-1.832476,0
2.122104,-2.916379,1.343311,2.242269,0.260352,-1.435171,-0.380882,1.082676,1
0.878179,-0.025294,1.273304,0.587914,-2.9373,-1.213781,1.434351,-0.171325,0
1.228845,1.384232,-0.946864,1.040191,-2.674855,1.418116,2.459368,0.536909,0
0.818499,-1.6548,-0.61174,2.763285,0.313807,0.819914,0.708462,2.170011,1
1.513212,-3.712158,0.423873,1.970296,2.229419,-0.451358,0.938267,2.902802,1
-1.515933,-1.446503,-0.762694,-0.385588,-2.259582,-1.33286,3.583587,1.114845,0
0.488754,0.389336,-0.280054,0.053857,-2.726107,1.700161,-0.075206,-0.603642,1
-0.570025,0.327903,0.109392,0.432876,-2.776681,-0.005281,2.310006,0.996014,0
0.352896,0.867238,1.145769,-0.20385,-2.791626,1.072215,-0.000022,-0.709314,1
-1.264212,-2.923149,-0.901459,-1.560063,-0.568027,-2.589717,2.853472,-1.357094,0
0.699349,-1.189615,0.965282,-0.587747,-3.421078,-1.030121,0.98371,-2.840814,0
2.674748,0.897333,1.099351,2.988456,-4.224181,2.788026,-0.041001,2.363904,1
-0.784539,-2.00698,4.777215,-0.83897,2.651928,0.020484,2.422255,1.986707,1
3.619873,-1.569544,-2.454506,0.802342,-1.457,1.341501,4.057121,0.146945,1
