@relation art38-weka.filters.unsupervised.attribute.NumericToNominal-R7

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute class {0,1,2}

@data
-1.948404,-0.702796,0.360767,2.27186,-1.052825,1.19396,2
-3.108655,-3.237194,-0.59777,-1.01121,-0.4418,1.892852,0
-0.614256,0.190942,-2.009421,-1.571198,-3.610544,0.194668,0
-1.926993,-0.759202,-1.431946,-0.605432,0.967583,0.632698,0
-5.245228,-3.037412,-2.805184,0.198454,1.32773,3.294032,1
-1.891731,1.117431,-2.193407,1.438676,0.357993,-0.250521,1
0.729183,1.342679,-2.072842,0.333839,-1.504867,-0.38136,0
1.421119,4.151224,-1.326112,4.083047,-0.456524,-5.432931,1
-1.039235,1.260207,-0.148302,2.25055,-2.339194,-0.450216,2
-0.835373,0.758451,-1.532215,0.229689,-1.504174,0.30759,0
-1.496364,-0.970424,0.35542,-1.449191,0.382885,1.653077,0
0.409082,1.218254,0.01451,2.274324,2.264709,-1.933429,1
0.492613,2.046788,1.724349,2.086046,0.643636,2.738198,2
-0.429155,1.112591,-1.824104,4.104646,-1.089258,1.688209,2
-0.973097,0.153928,-1.491981,0.412044,1.091752,-0.2774,1
-1.232408,-2.459146,-1.706224,-0.436299,-2.067371,1.068027,0
0.47871,1.217573,-1.719412,-0.150903,-0.011607,-1.946988,1
0.860894,1.368936,2.414574,0.188929,-0.649681,2.622702,2
-0.137783,-0.454635,-0.524738,-0.809273,-0.786714,1.017338,0
0.004866,1.104873,2.607269,1.774446,3.38875,-2.582796,1
1.558402,2.838006,0.281982,2.288318,-0.391638,0.45043,2
-1.133244,1.206315,0.04009,0.670083,1.669522,-0.685063,1
1.525514,1.227403,2.2317,0.486545,0.116206,2.489625,2
0.175418,-0.818809,1.067152,0.525937,-1.945782,1.398572,2
-1.379169,1.839814,-3.068599,1.488391,-1.099308,-1.680802,1
1.601519,2.948708,2.048629,0.27918,-2.005147,1.184827,2
-1.38855,-1.46092,-0.81184,-0.86986,1.218076,1.264799,0
-1.485319,1.093889,0.295594,1.822612,1.930401,-1.203639,1
-0.301638,-0.883618,0.169996,-1.606765,-0.828453,1.532852,0
-0.1541,1.225653,0.000829,0.496527,1.463204,-1.557178,1
1.928292,3.061029,-0.337707,2.51089,2.061185,3.151861,2
-0.266295,1.734683,-1.652427,1.653681,0.891463,-1.019596,1
1.051441,-2.383498,2.46485,-1.118692,-2.697235,0.830425,2
-2.220051,1.133613,-1.854649,-1.547315,-0.921944,0.499732,0
-1.532773,0.085974,-1.979476,-0.638072,-0.9982,0.196224,0
-0.13114,-0.010828,-0.836527,-1.311491,-3.680363,0.469226,0
-0.350391,0.520385,-0.32763,3.54741,1.173343,3.179794,2
-3.079433,-3.092217,-3.911903,-2.381849,-3.184086,0.822996,0
-1.067925,1.552625,-3.698898,0.767839,-0.503892,0.24275,1
1.547007,1.183535,0.453883,0.506291,-1.23579,-0.113165,2
1.117572,0.345444,-0.317239,-1.083572,-1.487596,0.766166,0
2.482171,2.453536,2.84948,-0.251361,-0.026675,1.548348,2
-2.414049,-1.845724,-2.871414,-0.624572,-2.638555,0.277248,0
-0.998552,-1.595349,-2.819761,-0.443168,-2.903228,0.332492,0
0.546915,-1.022635,1.621508,-0.161115,-0.934264,1.723456,2
-2.386393,-2.073838,-2.730543,-0.812729,-0.283162,-0.339097,1
-0.435857,-2.032823,0.469867,-0.222457,-1.094725,0.081766,2
0.323535,1.098911,1.177491,0.041607,-1.084648,0.692403,2
0.753608,-1.064455,1.916199,0.24572,-0.744521,1.976594,2
-1.517924,-0.868644,-0.34257,-1.512177,-1.114614,1.467944,0
-0.24503,4.020673,-2.032597,4.0794,0.566321,1.997187,2
-3.304792,2.873224,-0.675695,1.777678,1.363814,1.297571,1
-1.150268,0.119943,-2.489404,0.676872,-0.005503,-1.003964,1
0.127806,1.393021,-1.35379,0.680573,1.428641,-0.22318,1
