@relation art16-weka.filters.unsupervised.attribute.NumericToNominal-R8

@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute class {0,1,2}

@data
0.29309,1.602391,0.014925,-2.963105,-2.121903,0.308448,-1.093791,2
2.309047,2.435805,3.943669,0.244568,2.276082,-0.72108,-3.15333,0
1.566333,0.2521,3.917989,-0.007077,1.437987,-0.599505,-2.326436,0
-3.553591,-0.1391,0.043848,2.598483,2.707632,-2.751007,-0.64068,1
-1.245605,-1.712823,2.839976,4.7719,-3.895587,0.893154,0.837752,2
1.737332,0.819457,2.727887,2.253367,1.706435,-1.308973,-0.604307,0
-2.288818,2.419164,-0.883726,2.565711,-0.56633,-0.591295,-2.402122,1
-1.557671,3.372683,-1.515359,1.291441,-0.7567,-0.180762,-0.89764,1
-0.150456,-2.83461,3.394405,1.303858,1.86051,-1.132524,1.152767,0
-0.66548,-2.536262,-1.071446,2.884462,-2.588107,1.692281,0.691502,2
4.349718,4.230107,1.836286,2.17384,0.486624,-0.067238,-3.049345,0
-0.320014,1.667515,-3.032044,1.295924,-0.072761,-1.816843,-0.20758,1
-0.03991,0.072036,-1.422885,-3.025035,-1.726753,1.417163,0.192224,2
1.728385,2.554826,1.950813,1.480864,1.012234,0.104883,-2.432517,0
1.054652,2.689131,-0.502651,1.763307,2.320827,-1.322375,0.1801,0
-1.287631,0.366294,-1.41922,0.02895,-1.644382,-0.395085,-3.554952,1
1.048918,1.099322,0.987678,0.479597,0.882953,-0.248372,-1.38651,0
0.728803,-0.389774,2.770952,-1.114068,0.553463,-0.916163,-2.588806,0
1.967399,3.408343,-0.478037,0.769893,1.187502,-2.848288,-1.773272,0
-1.725788,1.958084,-0.674137,3.878289,-0.185449,-1.974777,-2.207288,1
0.576749,-0.029019,0.15672,-1.043201,-1.760821,0.392732,-0.073662,2
3.947174,-1.802676,-0.177968,0.052458,2.512407,0.979472,2.4186,2
1.91096,1.167193,1.054038,-1.808314,-1.137406,-0.243579,0.246063,2
2.981181,2.944347,0.444724,1.35192,1.04582,-0.402913,-1.369764,0
0.489597,-2.114746,2.901116,-1.267397,1.517679,-0.560276,-0.456934,0
-1.540268,3.191754,-0.885804,1.14186,2.050982,0.516039,0.360992,1
-0.03672,1.638886,-2.384581,-1.64278,1.481815,0.558105,0.59908,1
-2.96599,-3.669475,1.798202,0.483701,2.61403,-0.201981,2.40974,0
-0.0487,3.907911,-2.403515,2.581831,-0.78252,-1.065887,-0.105757,1
-0.148471,-0.933534,-1.863784,-2.803854,0.306742,-0.717062,-0.772055,1
2.549977,0.998171,0.855626,-0.342446,0.801662,0.761817,-1.177141,0
1.057034,0.995047,3.22063,1.442769,1.274479,-1.249923,-2.108195,0
3.074614,-0.584182,0.745274,1.611967,-0.982934,-0.008438,3.316998,2
-2.084571,3.778795,0.639863,2.110762,1.968184,1.679147,-1.34583,1
1.051203,-1.233666,0.883292,-0.12803,1.017653,1.371549,0.626624,0
1.870009,-1.811929,3.203702,0.121119,0.934372,2.198647,2.41865,2
-1.800541,0.750501,0.433239,0.547822,-5.622417,0.993869,-1.019019,2
-2.706223,0.82064,-1.710638,0.483754,-1.220077,-1.470703,-1.956879,1
-1.030458,0.312773,2.410284,3.804115,1.630988,-3.962173,-0.318465,0
0.969915,1.748584,0.905328,1.965144,1.704243,-2.2879,-0.505089,0
0.790812,1.797691,1.721256,1.123195,1.011436,-3.191211,-2.333495,0
1.984691,-0.449841,0.299956,0.702323,-0.752354,0.26731,1.189134,2
