@relation art39-weka.filters.unsupervised.attribute.NumericToNominal-R3

@attribute att0 numeric
@attribute att1 numeric
@attribute class {0,1,2}

@data
-1.961246,0.3578,2
1.596781,-0.059789,1
0.240408,-1.54247,0
2.410382,0.060034,0
-2.493882,0.501637,2
-1.324329,1.269753,2
0.64363,-1.810494,0
-0.500493,2.688083,1
2.494545,-0.144379,0
1.023232,-1.401683,0
1.285086,2.253502,1
-0.087009,-2.009159,0
-0.65767,0.101522,2
1.862001,0.374138,1
0.032664,1.094375,2
1.389023,-2.81972,0
0.526007,-0.115062,0
-1.656462,1.383668,2
-0.769398,0.02648,2
1.436412,-1.374639,0
-1.117967,0.595101,2
-0.462596,0.883287,2
-1.039707,-2.12661,0
0.107495,-2.133841,0
1.379876,-1.147496,1
-1.268311,1.713054,2
-0.832889,0.99255,2
2.323153,-0.100035,0
-0.31918,-1.472264,0
1.117724,1.062639,1
-1.590772,0.810758,2
1.35847,0.738779,1
0.648034,0.522736,1
-1.124085,0.723669,2
-2.997486,0.421052,2
1.284402,-0.109001,1
1.994954,-0.224787,0
2.333435,0.155939,1
2.053531,-0.923938,0
2.204526,-0.737271,0
0.773803,1.120851,1
-1.986055,1.278084,2
1.261549,-1.282166,0
-1.936605,0.45101,2
-1.432703,0.643326,2
0.518637,-0.215973,0
-1.399416,1.080505,2
0.296033,1.802679,1
2.283551,-0.271113,0
0.956523,2.07226,2
0.285493,1.629945,2
1.638576,1.391428,1
0.034047,-1.14454,0
1.734144,0.325479,1
-3.171921,0.80713,2
1.597972,0.258003,1
-0.055466,1.088472,2
1.611344,-0.762481,0
1.401709,0.938973,1
-0.719734,0.75746,2
1.127668,-0.024418,1
0.844573,2.843477,1
-2.148206,-0.046543,2
0.562154,2.883753,2
0.390336,2.868816,1
2.516042,-0.693087,0
1.570586,-0.625282,0
0.915695,1.895863,1
0.139112,-1.545819,0
0.9541,1.066803,1
-3.536089,-0.167337,2
2.316832,0.398309,1
0.857204,-1.07277,0
-0.401546,3.101159,1
1.148193,1.791276,1
1.332806,1.83815,1
-0.49618,0.668548,2
1.244601,0.300364,1
-1.436057,1.164426,2
3.05379,-0.517601,0
3.334988,1.166639,0
1.672007,0.112286,1
0.808645,1.257219,1
-0.775291,0.576033,2
0.958035,-1.135573,0
1.660677,0.857976,1
0.497845,1.167028,1
1.027396,4.431822,1
3.593554,-0.141834,0
0.957767,0.154893,0
-2.164438,0.668094,2
0.9993,-0.194672,1
0.214811,-0.625606,0
-3.353239,-0.315167,2
2.250357,0.078422,0
-0.256387,0.798811,2
-0.186743,-0.822974,0
2.149849,-1.402974,0
2.031198,0.4945,1
-0.623375,1.042597,2
