"observed","predNN","predPCR","predPLS","predRidge","predLars","predSVMR","predMars","predKNN"
0.54,0.666891084637495,0.629813169584062,0.685557933579693,0.689777382157074,0.70100309889634,0.663044920303419,0.599971064237091,0.702
0.49,0.639431390570357,0.629813676363433,0.694860092812688,0.69856608802006,0.709578397870261,0.653417009745686,0.599971064237091,0.712
0.58,0.623510368246107,0.62981317739936,0.654837331968652,0.659213469415405,0.670808282861636,0.63892999168252,0.599971064237091,0.6745
0.5,0.459088996521058,0.629813213059082,0.466388722133652,0.476004192414344,0.487448654644397,0.465940633739434,0.367451782443118,0.455
0.6,0.667820210007792,0.62981308599986,0.718766485780426,0.722225939154696,0.732893507856209,0.675744802311547,0.599971064237091,0.73
0.54,0.688913130432828,0.62981351741541,0.716063917791625,0.718669529333358,0.728655249547228,0.66906896001713,0.599971064237091,0.7395
0.61,0.668824901726559,0.629813452762863,0.716558420631566,0.719889467925577,0.729831621561668,0.634937433540945,0.599971064237091,0.715
0.62,0.645725628701846,0.628518721971982,0.664226968050219,0.644497016007761,0.626477839593858,0.606494692145713,0.641836622847662,0.658
0.62,0.573235260922626,0.628519005490843,0.557133335505516,0.539085895339415,0.521023338086556,0.556767088459321,0.571883792070917,0.5485
0.58,0.573621900182553,0.628518685154669,0.562492930873642,0.544437427274648,0.526093160791767,0.529513246704442,0.526123490804893,0.55
0.61,0.515431360726742,0.628518922843565,0.444310610552877,0.4303759208684,0.413234955513121,0.64457891662498,0.496872575876374,0.4585
0.7,0.625012036400405,0.628518918688472,0.682628581801887,0.661579045252299,0.643448173441873,0.598176360166026,0.641836622847662,0.649
0.61,0.501935842964039,0.628518765447002,0.445057756604178,0.430723826265031,0.412923395341914,0.623182083755991,0.496990288912461,0.464
0.6,0.611183444756224,0.628518905571119,0.623811192783678,0.60470912642918,0.586701356142399,0.440846822671439,0.641836622847662,0.6375516667
0.81,0.825933207039964,0.644161451536207,0.696303790975831,0.70348557653382,0.710131724519241,0.751534401357674,0.780217842961549,0.668
0.85,0.887754924717616,0.644161716444585,0.723773036298668,0.730046120599727,0.736913612921917,0.825387528600233,0.780217842961549,0.7075
0.83,0.766906727230675,0.644161655980079,0.632676223840767,0.64177654571732,0.649344109919035,0.739550664948458,0.69772736686709,0.6295
0.85,0.890037338523512,0.644161469657575,0.722465836874279,0.729520002994896,0.736224137471366,0.728522618978121,0.780217842961549,0.6705
0.793333333,0.747101638895227,0.64416184644732,0.653641112223057,0.661169825156842,0.668639656904857,0.717888008006677,0.817302519153837,0.63595333345
0.73,0.736636960781897,0.642922504398237,0.724554223526937,0.733887300847477,0.737594551483343,0.724759528367598,0.754884638067747,0.7095
0.67,0.684565708005982,0.642922218285081,0.685843153556344,0.695801348325809,0.700379197941698,0.676590627327354,0.754884638067747,0.6565
0.54,0.564916376602513,0.642922160140529,0.594898942936604,0.604901977203461,0.607966515214839,0.655274296337777,0.639171506024978,0.6035
0.65,0.71675228703051,0.642922282457971,0.702289114086806,0.709893591768255,0.713061253035044,0.720643027114048,0.754884638067747,0.696
0.75,0.755858859273523,0.642922146887321,0.713727394440461,0.721517477576282,0.724632052414393,0.698724217323067,0.754884638067747,0.68
0.72,0.664467430138632,0.641689224655156,0.666888554018575,0.668184147522128,0.671811912622406,0.682601098959766,0.723579532468486,0.6985
0.73,0.699072540547514,0.641689799626415,0.685258344822739,0.686451368206483,0.690198766150989,0.716329168278387,0.723579532468486,0.7255
0.84,0.734034913607166,0.641689489563534,0.694357799341412,0.694744691588035,0.698593801025082,0.728433324144901,0.723579532468486,0.7165
0.44,0.395689054752544,0.641689336322065,0.456786974143702,0.463889472600767,0.468069022925124,0.488937257349245,0.489384807901103,0.476
0.79,0.698823640442442,0.641689640678393,0.706462169801675,0.706554809519781,0.709275617827955,0.697450280592228,0.723579532468486,0.7115
0.62,0.727751192946262,0.644161414855272,0.68267362651708,0.680561303798319,0.677256060002118,0.662240488641812,0.776534780491935,0.63
0.67,0.651032093134455,0.644161446229848,0.590007220911671,0.589980229886574,0.586682935754689,0.579578065289624,0.660821648449167,0.571
0.62,0.769998315084072,0.644161989826532,0.701043417321244,0.698828524482675,0.6956429135307,0.642720119313301,0.776534780491935,0.674
0.76,0.780203696957509,0.64416143297664,0.708835672415528,0.706595730259395,0.703348472954243,0.734293481693673,0.776534780491935,0.6625
0.81,0.723403274945599,0.641689391038252,0.689181439232838,0.689888326513704,0.692459574079458,0.699488086247453,0.714270325910389,0.6695
0.59,0.623067719741438,0.641689674557113,0.582087806688135,0.584477205845358,0.587005072572157,0.584455120519449,0.600880851419504,0.551
0.81,0.779791724486128,0.641689698478648,0.717102682646594,0.718814061424607,0.721702931545871,0.792231745705901,0.714270325910389,0.685
0.79,0.715666763857708,0.641689412365492,0.678391612676001,0.680728108902938,0.684487578004226,0.714286015071397,0.714270325910389,0.648
0.51,0.582143571949312,0.641689354220939,0.587447402056261,0.58982873778059,0.592074895277367,0.577391337575803,0.59855719386762,0.589
0.7,0.710099561666919,0.64168939885355,0.658460837621797,0.659324413772036,0.662264758044754,0.689868618367788,0.714270325910389,0.609
0.59,0.628897655012617,0.641689527290236,0.616486240526606,0.618700780875835,0.62186040492459,0.596842749275909,0.632675843918535,0.607
0.82,0.769678504749017,0.641689294818372,0.728263432671411,0.727769250924795,0.730062860430652,0.750825633301336,0.714270325910389,0.6845
0.41,0.429167139118878,0.641689434513272,0.470012227786797,0.476115136770974,0.478905129827514,0.505901180908492,0.479482834046602,0.465
0.83,0.760818737913529,0.6416897388696,0.71968742344477,0.718780473689988,0.720111724730346,0.752419205235274,0.714270325910389,0.676
0.41,0.429623810703735,0.641689506733715,0.454640653866631,0.461990663566025,0.465151741983861,0.479617511794011,0.463855760284735,0.445
0.816666667,0.670263184042601,0.641689649019234,0.64527150912642,0.647062191686295,0.651442328974152,0.711436854742,0.719540803857137,0.62361833345
