"nInstances","nClasses","AdaBoostM1","Bagging","DecisionStump","DecisionTable","IBk","J48","JRip","KStar","Logistic","LogitBoost","LWL","MultilayerPerceptron","NaiveBayes","OneR","PART","RandomCommittee","RandomForest","SimpleLogistic","SMO","Stacking","SVM","Vote","ZeroR","median1","mean1","sdt1","skewness1","median2","mean2","sdt2","skewness2","median3","mean3","sdt3","skewness3","median4","mean4","sdt4","skewness4","entro_Class","totalCorr","SAR"
4177,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,2.493613143,8.784223088,0.54
4177,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,2.493613143,8.784223088,0.55
4177,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,2.493613143,8.784223088,0.55
4177,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,2.493613143,8.784223088,0.53
4177,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,2.493613143,8.784223088,0.6
4177,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,2.493613143,8.784223088,0.51
4177,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,2.493613143,8.784223088,0.51
4177,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,2.493613143,8.784223088,0.5
4177,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,2.493613143,8.784223088,0.49
4177,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771979916,0.339282798,0.000342918,0.22464522,0.436995302,0.045699346,0.000655768,0.827922499,0.553831047,0.001595785,0.675361917,0.003936408,0.155596277,0.360989049,0.011610714,0.293894732,2.493613143,8.784223088,0.59
